id,model_family,domain_or_lang,trap_description,bad_example,remediation_rule
trap-claude-over-abstract,claude,general,"Over-engineering simple requirements into complex generic monads, ABCs, or type acrobatics","Creating AbstractGenericHandlerFactory<TReq, TRes> for a single 5-line string transform","Start with pure functions or simple structs; introduce interfaces only when multiple concrete implementations exist."
trap-claude-silent-suppress,claude,error-handling,"Catching broad exceptions and returning None or empty lists without logging or caller notification","try: do_work() except Exception: return None","Catch specific exceptions only; preserve error stack traces or return explicit Result.err(e)."
trap-gpt-class-bloat,gpt,typescript,"Generating Java-style Class hierarchies with private properties and redundant getters/setters","class User { private name: string; public getName() { return this.name; } }","Use plain readonly TypeScript interfaces and immutable data objects: export interface User { readonly name: string; }"
trap-gpt-mutable-defaults,gpt,python,"Using mutable objects (list, dict) as default parameter values in function definitions","def append_item(item, target=[]): target.append(item)","Always use None as default: def append_item(item, target: list | None = None): if target is None: target = []"
trap-gemini-missing-boundaries,gemini,validation,"Passing untyped dictionary or loose tuple payloads across module boundaries without validation","def handle_webhook(payload: dict): user_id = payload['data']['user_id']","Use Pydantic v2 models or Zod schemas at external and boundary interfaces to guarantee shape."
trap-gemini-error-context,gemini,go,"Returning naked errors from internal calls without context wrapping or sentinel checks","if err != nil { return err }","Wrap with descriptive context: return fmt.Errorf(\"failed to load user %s: %w\", userID, err)"
trap-go-channel-overuse,general,go,"Reaching for Go channels and goroutines for basic synchronized state protection","Creating a background actor goroutine with 3 channels just to protect an int counter","Use sync.Mutex or sync/atomic for shared in-memory state; reserve channels for signaling and data streams."
trap-go-interface-pollution,general,go,"Exporting single-implementation interfaces from the provider package before any consumer needs it","package userdb; type Service interface { GetUser() }; type service struct {}","Define interfaces at the consumer package where dependencies are injected, not in the provider package."
trap-rust-clone-escape,general,rust,"Liberally calling .clone() across structs to bypass borrow checker errors without understanding ownership","fn process(data: &Data) { let owned = data.clone(); ... }","Borrow with & / &mut; redesign struct ownership, use Arc for shared immutable state, or use ID handles."
trap-ts-any-cast,general,typescript,"Using 'as any' or loose type casting to bypass complex compiler errors","const result = (response as any).data.items;","Use type guards, discriminated unions, or z.infer<typeof Schema> to safely narrow types."
trap-python-catch-all,general,python,"Bare 'except:' or 'except Exception:' catching system exit, keyboard interrupt, or masked bugs","try: run() except: pass","Catch specific expected exceptions (e.g. (KeyError, ValueError)), log with exc_info, or let it propagate."
