id,name,category,intent,modern_alternative,when_to_use,anti_patterns
pat-result,Result / Railway Pattern,Error Handling,"Represent success or predictable failure as an explicit value rather than throwing runtime exceptions","Result<T, E> type, Either monad, Go (value, error) tuple","Domain operations with anticipated failure modes (validation, user not found, rate limited)","Throwing exceptions for expected business logic branches, returning null on error"
pat-typestate,Typestate Pattern,Creational/State,"Encode object state transitions into the type system to make invalid states unrepresentable at compile time","Phantom types, builder with generic state markers, TypeScript discriminated unions","Multi-step workflows where operations are only valid in specific phases (Draft -> Submitted -> Paid)","Runtime enum checks throwing IllegalStateException, boolean state flags like isSubmitted"
pat-functional-options,Functional Options,Creational,"Provide clean, extensible configuration for structs or classes with defaults without constructor explosion","Variadic WithOption closures (Go), fluent Builder (TS/Rust), keyword args with defaults (Python)","Constructors with >3 optional parameters or configurations that may evolve over time","Overloaded constructors (NewClient1, NewClient2), passing structs with 15 nil fields"
pat-builder,Type-Safe Fluent Builder,Creational,"Construct complex objects step-by-step, enforcing required parameters at compile time","Fluent builder returning state-carrying generic types or validated build() method","Constructing complex immutable domain aggregates with many required and optional fields","Telescoping constructors with 8 arguments, partially initialized mutable objects"
pat-factory-method,Factory Method / Smart Constructor,Creational,"Encapsulate object creation logic and validation inside static functions rather than raw constructors","Static create() or parse() methods returning Result<T, E> or validated instance","Enforcing validation invariants upon creation (e.g. Email.create('a@b.com'))","Public raw constructors that allow creating invalid or unvalidated domain objects"
pat-specification,Specification Pattern,Behavioral,"Encapsulate business rules into reusable, combinable Boolean predicates (And, Or, Not)","Higher-order predicate functions, type-safe expression objects","Complex search filters, validation rules applied across multiple domain operations","God-validator classes with 500-line if-else chains, duplicating rule logic in UI and backend"
pat-value-object,Value Object / Branded Type,Domain Modeling,"Represent domain concepts defined by their attributes rather than identity; enforce immutability and self-validation","Readonly dataclasses (Python), readonly structs (Rust/C#), branded types / nominal tags (TS)","Domain primitives with validation invariants (Email, Money, Currency, OrderQuantity, GeoPoint)","Primitive obsession (passing raw string/number everywhere), mutable value objects"
pat-strategy,Strategy Pattern,Behavioral,"Define a family of algorithms, encapsulate each one, and make them interchangeable at runtime","First-class functions / closures, typed protocols, function mapping table","Multiple payment processors, serialization formats, pricing calculation engines","Giant switch/case statements, deep inheritance hierarchies for algorithm variants"
pat-decorator,Decorator / Middleware Chain,Structural,"Attach additional responsibilities (logging, auth, metrics, tracing) dynamically and transparently","Composable handler wrappers, async middleware pipelines (koa/axum/actix style)","Cross-cutting concerns on HTTP requests, command handlers, or event consumers","Hardcoding auth/logging inside every domain service, circular decorator dependencies"
pat-adapter,Adapter Pattern,Structural,"Convert the interface of an external library or legacy class into an interface expected by domain clients","Thin wrapper class or translation function implementing a domain port","Decoupling application logic from third-party SDK signatures or disparate vendor APIs","Leaking third-party SDK types across the adapter boundary into domain logic"
pat-observer,Observer / Typed Signal,Behavioral,"Define a one-to-many dependency between objects so that when one object changes state, dependents are notified","Typed EventEmitter, in-process Channel, Observable, Rx streams","Decoupling state changes in a domain service from side effects (UI updates, cache invalidation)","Global untyped string-based event emitters, memory leaks from unremoved event listeners"
pat-command,Command Pattern,Behavioral,"Encapsulate a request as an object, enabling parameterization of clients with queues, logs, and undo operations","Command structs/classes with execute() and optional undo(), async job payloads","Transactional task scheduling, undo/redo stacks, asynchronous task execution queues","God command objects that contain entire domain workflows instead of delegating to domain services"
pat-discriminated-union,Discriminated Union / Tagged Union,Structural,"Represent a value that could be one of several distinct variants with an explicit discriminator tag","Tagged union (Rust enum, Swift enum, TS type union with kind/type tag, Python Union with Literal)","Domain events, state machine representations, AST nodes, heterogeneous message payloads","Using instanceof or typeof checks without compiler exhaustiveness checking, untagged any"
pat-constructor-di,Constructor Dependency Injection,Creational/Wiring,"Pass all required dependencies explicitly through the constructor or factory function","Pure parameter passing, manual composition root (wire.go, main.ts)","All service classes and business logic components needing testability and modularity","Global ServiceLocator.get(), importing singleton instances directly, newing dependencies inside methods"
