id,name,paradigm,when_to_use,avoid_when,key_components,trade_offs,anti_patterns
arch-vsa,Vertical Slice Architecture,Feature-Centric,"Rapidly evolving business features, micro-domains with different complexity, independent feature iteration","Simple CRUD micro-apps, monolithic reporting-only databases","Feature folders, command/query handlers, co-located DTOs, domain models, slice-specific tests","Duplicate DTOs across slices vs decoupled independence","Layer-hopping, global generic repositories, shared mutable domain models"
arch-hex,Hexagonal (Ports and Adapters),Clean Architecture,"Core business logic must outlive frameworks, persistence, and external APIs","Small utility scripts, simple proxy services, high-throughput streaming with minimal business logic","Core domain entities, driving ports (inbound interfaces), driven ports (outbound interfaces), adapters","Higher initial boilerplate vs complete infrastructure independence","Framework annotations inside domain core, leaking ORM entities through ports"
arch-mod-mono,Modular Monolith,Component-Based,"Medium to large systems needing clear domain boundaries without microservice operational overhead","Single-developer prototype apps, distributed systems requiring independent hardware scaling","Bounded contexts, internal module public APIs, private implementations, module communication bus","In-process call latency vs discipline required to prevent boundary leaks","Direct cross-module database foreign keys, importing internal module classes"
arch-clean,Clean / Onion Architecture,Domain-Centric,"Enterprise business applications with rich domain rules requiring strict dependency inversion","CRUD applications, fast throwaway MVPs, stream processing pipelines","Domain entities, use cases / interactors, interface adapters, frameworks/drivers","High layer indirection and DTO mapping overhead vs strict boundary protection","Entities leaking to UI, business logic leaking into use-case controllers"
arch-microservices,Microservices,Distributed Components,"Large organizations (>50 engineers) needing autonomous team deployability and independent scaling","Early-stage startups (<10 engineers), tightly coupled domain models with unclear boundaries","Autonomous services, API contracts (gRPC/REST), CI/CD pipelines, container orchestration, distributed tracing","Network latency, distributed transaction complexity, operational overhead vs organizational scalability","Distributed monolith (shared database, synchronous HTTP chains), entity-based microservices"
arch-event-driven,Event-Driven Pub/Sub,Asynchronous Messaging,"Decoupled, asynchronous notification across subsystems, broadcast state changes, high-throughput ingest","Synchronous request-response queries, simple CRUD operations requiring immediate read-after-write consistency","Event producers, message broker (Kafka/RabbitMQ), event channels, event consumers","Eventual consistency, out-of-order delivery vs massive throughput and loose temporal coupling","Spaghetti event chains with no central topology, unversioned event payloads"
arch-cqrs,CQRS (Command Query Responsibility Segregation),Event/Data Separation,"Read and write workloads have radically different models, performance needs, or scaling characteristics","Standard CRUD applications with balanced reads and writes","Command model (mutations/validation), Query model (denormalized read projections), Event publisher","Eventual consistency overhead vs optimized read/write performance","Applying CQRS to the entire application rather than specific bounded contexts"
arch-event-sourcing,Event Sourcing,Immutable Audit Stream,"Systems where complete state history, auditability, temporal querying, or replayability is mandatory (banking, logistics)","Traditional CRUD applications where only current state matters, simple reporting systems","Append-only event store, aggregate roots, projections/read models, snapshotters","Event schema versioning, projection rebuild latency vs guaranteed audit trail and time travel","Mutating events in place, treating event stream as transient message queue"
arch-outbox,Transactional Outbox,Reliable Messaging,"Guaranteed message publishing in sync with database transactions without two-phase commit (2PC)","Single-node apps with no external asynchronous message consumers","Outbox table, polling publisher or CDC (e.g. Debezium), message deduplicator, idempotency key","Storage overhead of outbox records vs at-least-once delivery guarantee","Dual writes to DB and message broker without atomicity, publishing before commit"
arch-saga-orch,Saga (Orchestrated),Distributed Transactions,"Complex multi-step transactions across independent services with compensating actions","Simple two-step transactions, monolithic single-database operations","Saga orchestrator, state machine, command dispatchers, compensating action handlers","Single orchestrator complexity vs centralized visibility and error recovery","Missing compensating action handlers, circular saga dependencies"
arch-saga-choreo,Saga (Choreographed),Distributed Transactions,"Lightweight distributed workflows with 2-4 participants where loose coupling is paramount","Complex workflows with >5 steps where tracking overall progress is critical","Domain event emitters, event listeners, local compensating transactions","Decentralized simplicity vs difficulty in visualizing end-to-end transaction flow","Spaghetti event chains, unhandled event rejection leading to inconsistent states"
arch-pipe-filter,Pipes and Filters,Stream/Pipeline,"Sequential data transformation steps (ETL, compilers, audio/image processing, packet filtering)","Interactive request-response web apps with frequent bi-directional state mutations","Source, filter processors, pipes/channels, sink","Message serialization latency vs composability and independent step reusability","Tight coupling between filter steps, monolithic filters doing multiple transformations"
arch-actor,Actor Model,Concurrent State,"Stateful entities with concurrent access, fine-grained lifecycle management (gaming, chat, IoT, telematics)","Stateless web APIs, bulk relational query workloads","Actors, mailbox/queues, message protocols, actor supervisor hierarchies","Debugging asynchronous message queues vs lock-free concurrent safety","Sharing mutable state between actors, blocking calls inside actor message handler"
arch-strangler,Strangler Fig,Legacy Modernization,"Incrementally migrating a legacy monolith to modern services or clean architecture","Greenfield projects, complete ground-up rewrites with throwaway legacy code","API gateway / interceptor proxy, legacy system adapter, modern micro-service/slice","Routing layer latency vs zero-downtime, low-risk phased replacement","Never finishing the migration, maintaining dual systems indefinitely without deprecation plan"
arch-api-gateway,API Gateway / BFF (Backend-for-Frontend),Edge / Client Integration,"Aggregating multiple internal microservices into client-specific contracts (mobile vs web vs public)","Single monolith backends, internal service-to-service communication","Gateway reverse proxy, client-specific adapters, rate limiters, auth termination, response aggregators","Single point of failure and gateway latency vs tailored client payloads and client-agnostic backend","Putting business logic into the API gateway (Smart Endpoints / Dumb Pipes violation)"
arch-acl,Anti-Corruption Layer (ACL),Integration Boundary,"Integrating modern domain with legacy systems or third-party vendor APIs without polluting domain model","Greenfield integrations between two systems that already share identical domain models","Translators/Adapters, facade interfaces, domain-to-legacy mapping DTOs","Additional mapping code and maintenance vs protecting domain model purity","Directly referencing vendor SDK objects inside core domain services"
arch-data-mesh,Data Mesh,Distributed Analytics,"Decentralized domain-oriented data ownership for analytical data across large enterprise squads","Centralized startups with single data engineer, simple reporting requirements","Domain data products, federated computational governance, self-serve data platforms","Governance coordination complexity vs team autonomy and eliminated central bottleneck","Treating raw operational databases as public analytical data products"
arch-serverless,Serverless Event Processing,Cloud-Native,"Bursty, unpredictable, or event-driven compute (webhook processing, file uploads, scheduled jobs)","Steady-state high-throughput workloads, latency-critical operations sensitive to cold starts","Function triggers, serverless compute (Lambda/Cloud Run), managed state/queues","Cold start latency, vendor lock-in vs zero idle cost and automatic scaling","Monolithic functions doing 15 operations, chaining multiple lambdas synchronously"
