id,stack,pattern_id,pattern_name,canonical_snippet,prohibited_idioms,best_practices
stack-ts-result,typescript,pat-result,Result Pattern,"export type Result<T, E = Error> = { ok: true; value: T } | { ok: false; error: E }; export const ok = <T>(v: T): Result<T, never> => ({ ok: true, value: v }); export const err = <E>(e: E): Result<never, E> => ({ ok: false, error: e });","Throwing Error for predictable domain branches, returning null/undefined on error","Use discriminated union with ok boolean; match on res.ok to narrow type safely"
stack-ts-zod-boundary,typescript,pat-validation,Zod Boundary Validation,"import { z } from 'zod'; export const UserSchema = z.object({ id: z.string().uuid(), email: z.string().email() }); export type User = z.infer<typeof UserSchema>;","Using 'as MyType' type assertion on unvalidated external API or form data","Parse untrusted input at runtime boundary; propagate typed Result or throw structured ValidationError"
stack-ts-constructor-di,typescript,pat-di,Constructor Injection,"export class OrderService { constructor(private readonly repo: OrderStore, private readonly notifier: EventNotifier) {} }","ServiceLocator.get(), importing global singletons, newing dependencies inside constructor","Inject interfaces or function signatures via constructor; enables trivial mocking in tests without magic frameworks"
stack-ts-discriminated-union,typescript,pat-discriminated-union,Exhaustive Discriminated Union,"type Action = { type: 'LOGIN'; user: string } | { type: 'LOGOUT' }; function handle(a: Action) { switch (a.type) { case 'LOGIN': return a.user; case 'LOGOUT': return null; default: const _ex: never = a; return _ex; } }","Loose strings for action types, omitting exhaustive default check","Use const _ex: never = action to ensure compiler errors when a new variant is added"
stack-py-result,python,pat-result,Result Pattern,"from typing import Generic, TypeVar, Union; T = TypeVar('T'); E = TypeVar('E'); class Ok(Generic[T]): __match_args__ = ('value',); def __init__(self, value: T): self.value = value; class Err(Generic[E]): __match_args__ = ('error',); def __init__(self, error: E): self.error = error; Result = Union[Ok[T], Err[E]]","Catching Exception to handle expected validation failures; returning (res, None) tuples","Use Python 3.10+ match/case on Ok/Err or use returns/result library if installed"
stack-py-pydantic-v2,python,pat-validation,Pydantic v2 Boundary Model,"from pydantic import BaseModel, EmailStr, Field; class CreateUserRequest(BaseModel): email: EmailStr; age: int = Field(ge=18, le=120)","Using raw dict indexing request['email'] without schema or validation","Use BaseModel for input validation at controllers/endpoints; use frozen dataclasses for internal domain objects"
stack-py-protocol,python,pat-strategy,Structural Subtyping (Protocol),"from typing import Protocol; class Notifier(Protocol): def send(self, recipient: str, message: str) -> bool: ...","Inheriting from heavy abstract base classes (ABCs) with metaclasses when duck typing suffices","Protocols decouple caller from implementer without runtime inheritance coupling"
stack-py-taskgroup,python,concur-task-group,Structured Concurrency (TaskGroup),"import asyncio; async with asyncio.TaskGroup() as tg: t1 = tg.create_task(fetch_user(uid)); t2 = tg.create_task(fetch_orders(uid))","Unbounded asyncio.create_task() with no error propagation or cancellation scope","TaskGroup automatically cancels remaining tasks if any task raises an unhandled exception"
stack-go-func-options,go,pat-functional-options,Functional Options,"type Option func(*Server); func WithPort(p int) Option { return func(s *Server) { s.port = p } }; func New(opts ...Option) *Server { s := &Server{port: 8080}; for _, opt := range opts { opt(s) }; return s }","Config struct with 20 pointer fields, multiple NewServer1 NewServer2 constructors","Allows extending configuration in future minor versions without breaking existing callers"
stack-go-consumer-interface,go,pat-strategy,Consumer-Defined Interface,"package consumer; type Notifier interface { Send(ctx context.Context, msg string) error }; type Service struct { n Notifier }","Defining interfaces in the provider package before any consumer imports it","Accept interfaces, return structs. Keep interfaces minimal (1-3 methods max)"
